#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Backfield,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
423,"2025 UAB O vs Memphis, PFF Play 002",2,1,1,10,'-25,P,,,1,1,5.0,R,R,10,DOUBLES,STK,,,X,,X,OPEN,,,GN,Y INSERT,ZN,ZN,GAP,ODD,4 DOWN,,,COVER 3,,ALBI 04,ALBI 15,04,,00; 02; 06; 18,0,10,R,1,R,,5.0,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 15,04,00; 02; 06; 18,,ODD,2x2,1,,,0,COVER 3
424,"2025 UAB O vs Memphis, PFF Play 003",3,1,2,5,'-30,2,,,1,2,3.0,R,R,12,TREY U STING,SNUG,Y FR,,,,X,PRO,,,GN,ZONE RD ARC,STR,ZN,GAP,OVER,4 DOWN,,,COVER 4,,ALBI 04,ALBI 15,04,17; 88,00; 06,1,12,R,2,R,5.0,3.0,0,,,INSIDE ZONE,,,0,0,1,0,0,ALBI 04,ALBI 15,04,00; 06,17; 88,OVER,1x3,1,R,,0,COVER 4
425,"2025 UAB O vs Memphis, PFF Play 004",4,1,3,2,'-33,3,SY,,1,3,3.0,P,M,22,DUO Y OFF,SNUG,T MTR,,,,X,OFF,,COMPLETE,GN,JET SWEEP,STR,DB,,UNDER,4 DOWN,,BLITZ,COVER 3,,ALBI 11,ALBI 15,03; 11,17; 85,12,0,22,P,3,C,3.0,3.0,1,0.0,,,,,0,0,0,0,0,ALBI 11,ALBI 15,03; 11,12,17; 85,UNDER,2x2,0,R,ALBI 11,1,COVER 3
426,"2025 UAB O vs Memphis, PFF Play 005",5,1,1,10,'-36,P,,,1,4,-1.0,R,R,12,TREY Y OFF,SNUG,Y FR,,X,,X,OFF,CURLS,,PSTL,PIN PULL SS,STR,GAP,GAP,OVER,4 DOWN,,,COVER 3,,ALBI 04,ALBI 15,04,17; 85,06; 18,1,12,R,4,R,3.0,-1.0,0,,,COUNTER,,,0,0,1,0,0,ALBI 04,ALBI 15,04,06; 18,17; 85,OVER,1x3,0,P,,0,COVER 3
427,"2025 UAB O vs Memphis, PFF Play 006",6,1,2,11,'-35,2,,,1,5,9.0,P,R,11,TRIPS - PRO,Y FLEX/STK,TOZ,,X,,,OPEN,,COMPLETE,GEMP,JET SWEEP,STR,DB,,ODD,4 DOWN,STUNT,,COVER 3,,ALBI 00,ALBI 15,04,85,00; 06; 18,0,11,P,5,R,-1.0,9.0,0,0.0,,,,,0,0,0,0,0,ALBI 00,ALBI 15,04,00; 06; 18,85,ODD,2x3,0,R,ALBI 00,0,COVER 3
428,"2025 UAB O vs Memphis, PFF Play 007",7,1,3,2,'-44,3,SY,,1,6,3.0,R,L,12,TREY Y OFF,SNUG,,,X,X,X,OFF,CURLS,,,,,ZN,GAP,OVER,4 DOWN,,,COVER 3 CLOUD,,ALBI 15,ALBI 15,11,17; 85,06; 18,0,12,R,6,L,9.0,3.0,0,,,SNEAK,,,0,0,0,0,0,ALBI 15,ALBI 15,11,06; 18,17; 85,OVER,3x1,0,P,,0,COVER 3 CLOUD
429,"2025 UAB O vs Memphis, PFF Play 008",8,1,1,10,'-47,P,,,1,7,15.0,R,L,30,OPEN - OPEN,,,,,,,,,,,INSIDE ZN RD,STR,ZN,GAP,ODD,4 DOWN,,,COVER 3 CLOUD,,ALBI 16,ALBI 16,03; 04; 11,,02; 18,0,30,R,7,L,3.0,15.0,0,,,MAN,,,0,0,0,0,0,ALBI 16,ALBI 16,03; 04; 11,02; 18,,ODD,1x1,1,R,,0,COVER 3 CLOUD
430,"2025 UAB O vs Memphis, PFF Play 009",9,1,1,10,'+38,P,,,1,8,5.0,R,R,12,TREY YU OFF,ENDOVER,,,X,X,,OFF,CURLS,,,REVERSE,STR,TRICK,GAP,UNDER,4 DOWN,,,COVER 3 CLOUD,,ALBI 06,ALBI 15,11,17; 85,06; 18,0,12,R,8,R,15.0,5.0,0,,,TRICK,,,0,1,0,0,0,ALBI 06,ALBI 15,11,06; 18,17; 85,UNDER,4x0,0,R,,0,COVER 3 CLOUD
431,"2025 UAB O vs Memphis, PFF Play 010",10,1,2,5,'+33,2,,,1,9,18.0,R,L,11,TREY Y OFF,SNUG,Y MTR,,X,,X,OFF,CURLS,,GN,Q SPL ZN,STR,ZN,GAP,ODD,4 DOWN,STUNT,,COVER 1,,ALBI 11,ALBI 15,11,88,00; 06; 12,0,11,R,9,L,5.0,18.0,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 11,ALBI 15,11,00; 06; 12,88,ODD,3x1,0,R,,0,COVER 1
432,"2025 UAB O vs Memphis, PFF Play 011",11,1,1,10,'+15,P,,RA,1,10,15.0,P,L,11,EMPTY 3x2 Y OFF,,Y MTR,,X,,X,OFF,,COMPLETE,GEMP,JET SWEEP,STR,DB,,ODD,4 DOWN,STUNT,,COVER 3,,ALBI 00,ALBI 15,11,88,00; 06; 12,0,11,P,10,L,18.0,15.0,0,0.0,,,,ALBI 00,0,0,0,0,0,ALBI 00,ALBI 15,11,00; 06; 12,88,ODD,3x2,0,R,ALBI 00,0,COVER 3
433,"2025 UAB O vs Memphis, PFF Play 016",16,1,1,10,'-25,P,,,2,1,4.0,R,R,13,TOAD WING - CLOSED,,,,,,,,CURLS,,GN,SPL ZN SS,ZN,ZN,GAP,ONE INTERIOR,5 DOWN,STUNT,,COVER 2,,ALBI 04,ALBI 15,04,17; 40; 85,00,0,13,R,1,R,15.0,4.0,0,,,INSIDE ZONE,,,0,1,0,0,0,ALBI 04,ALBI 15,04,00,17; 40; 85,ONE INTERIOR,1x3,0,P,,0,COVER 2
434,"2025 UAB O vs Memphis, PFF Play 017",17,1,2,6,'-29,2,,,2,2,-11.0,P,R,12,ACE YU OFF,,,,,,X,OFF,,SACK,GF,JET SWEEP,STR,DB,,ODD,4 DOWN,STUNT,BLITZ,COVER 2,,ALBI 15,ALBI 15,04,17; 85,00; 06,0,12,P,2,R,4.0,-11.0,0,0.0,,,,,0,0,0,0,0,ALBI 15,ALBI 15,04,00; 06,17; 85,ODD,2x2,0,R,,1,COVER 2
435,"2025 UAB O vs Memphis, PFF Play 018",18,1,3,17,'-18,3,,,2,3,15.0,P,R,11,TREY Y OFF,SNUG,,,X,X,X,OFF,,COMPLETE,GF,JET SWEEP,STR,DB,,BEAR,4 DOWN,STUNT,BLITZ,COVER 1,,ALBI 18,ALBI 15,04,17,00; 06; 18,0,11,P,3,R,-11.0,15.0,0,0.0,,,TNMS D02 DH,,0,0,0,0,0,ALBI 18,ALBI 15,04,00; 06; 18,17,BEAR,1x3,0,P,ALBI 18,1,COVER 1
436,"2025 UAB O vs Memphis, PFF Play 019",19,1,1,10,'-28,P,,,2,4,3.0,R,R,11,TRIPS,STK,Z ORB,,,,X,ON,,,GN,Y INSERT,STR,ZN,GAP,OVER,4 DOWN,STUNT,,COVER 2,,ALBI 04,ALBI 15,04,17,00; 06; 18,0,11,R,4,R,15.0,3.0,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 15,04,00; 06; 18,17,OVER,1x3,1,P,,0,COVER 2
437,"2025 UAB O vs Memphis, PFF Play 020",20,1,2,7,'-31,2,,,2,5,3.0,R,M,30,DOUBLES,STK,TOZ,,,,,OPEN,,,GN,ZONE RD ARC,STR,ZN,GAP,ODD,4 DOWN,STUNT,,COVER 3,,ALBI 03,ALBI 15,03; 04; 11,,02; 18,0,30,R,5,C,3.0,3.0,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 03,ALBI 15,03; 04; 11,02; 18,,ODD,2x2,1,R,,0,COVER 3
438,"2025 UAB O vs Memphis, PFF Play 021",21,1,3,4,'-34,3,,,2,6,9.0,P,M,11,TREY Y OFF,SNUG,,,X,X,X,OFF,,COMPLETE,GF,JET SWEEP,STR,DB,,BEAR,4 DOWN,STUNT,BLITZ,COVER 2,,ALBI 00,ALBI 15,03,17,00; 06; 18,0,11,P,6,C,3.0,9.0,0,0.0,,,,,0,0,0,0,0,ALBI 00,ALBI 15,03,00; 06; 18,17,BEAR,3x1,0,R,ALBI 00,1,COVER 2
439,"2025 UAB O vs Memphis, PFF Play 022",22,1,1,10,'-43,P,,,2,7,7.0,P,R,12,OTHER,,,,,,,,,COMPLETE,GF,Y INSERT,STR,PA,,WIDE OVER,4 DOWN,,BLITZ,COVER 3,,ALBI 88,ALBI 15,11,17; 88,00; 18,0,12,P,7,R,9.0,7.0,0,0.0,,INSIDE ZONE,,,1,1,0,0,0,ALBI 88,ALBI 15,11,00; 18,17; 88,WIDE OVER,4x2,1,P,ALBI 88,1,COVER 3
440,"2025 UAB O vs Memphis, PFF Play 023",23,1,2,3,'+50,2,SY,,2,8,4.0,R,L,21,PRO - OPEN,SNUG,Z ORB,,,,,OFF,CURLS,,PSTL,Y INSERT,STR,ZN,GAP,OVER,4 DOWN,,,COVER 3,,ALBI 04,ALBI 15,03; 04,88,00; 06,0,21,R,8,L,7.0,4.0,0,,,MAN,,,0,0,0,0,0,ALBI 04,ALBI 15,03; 04,00; 06,88,OVER,1x2,0,P,,0,COVER 3
441,"2025 UAB O vs Memphis, PFF Play 024",24,1,1,10,'+46,P,,,2,9,3.0,R,L,21,TRIPS - OPEN,STK,,,X,,X,OPEN,,,GN,ZONE RD ARC,STR,ZN,GAP,UNDER,4 DOWN,STUNT,BLITZ,COVER 3,,ALBI 15,ALBI 15,04; 11,85,00; 06,0,21,R,9,L,4.0,3.0,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 15,ALBI 15,04; 11,00; 06,85,UNDER,3x1,1,R,,1,COVER 3
442,"2025 UAB O vs Memphis, PFF Play 025",25,1,2,7,'+43,2,,,2,10,-3.0,R,R,12,TREY Y OFF,SNUG,Y FR,,X,,X,OFF,CURLS,,PSTL,OUTSIDE ZN LD,STR,ZN,GAP,OVER,4 DOWN,,BLITZ,COVER 4,,ALBI 03,ALBI 15,03,17; 85,06; 18,0,12,R,10,R,3.0,-3.0,0,,,OUTSIDE ZONE,,,0,0,0,0,0,ALBI 03,ALBI 15,03,06; 18,17; 85,OVER,1x3,0,R,,1,COVER 4
