number,name,position,filename,official_source_url,supabase_public_url
5,Ryder Burton,QB,ryder-burton.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/2/20/Burton_Ryder.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/ryder-burton.jpg
11,Adrian Posse,QB,adrian-posse.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2024/3/6/Posse_Adrian.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/adrian-posse.jpg
16,Nathan Rogers,QB,nathan-rogers.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/10/2/060A4621.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/nathan-rogers.jpg
18,Cameron Jennings,QB,cameron-jennings.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/4/27/060A7893_ebAM1.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/cameron-jennings.jpg
2,Rod Robinson,RB,rod-robinson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/4/15/060A8023_DxISk.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/rod-robinson.jpg
3,Bam McReynolds,RB,bam-mcreynolds.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Braylon__BAM__McReynolds_5BrxC.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/bam-mcreynolds.jpg
7,Ja’Vin Simpkins,RB,ja-vin-simpkins.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Ja_Vin_Simpkins_mC9sI.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/ja-vin-simpkins.jpg
10,Marquise Collins,RB,marquise-collins.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Collins_Marquise_5PBXA.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/marquise-collins.jpg
20,Rashad Robinson,RB,rashad-robinson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Robinson_Rashad_FYG2y.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/rashad-robinson.jpg
21,Hudson Higgins,RB,hudson-higgins.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Hudson_Higgins_iceSa.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/hudson-higgins.jpg
22,Drew Patterson Jr,RB,drew-patterson-jr.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/6/6/060A8031_bmgY6.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/drew-patterson-jr.jpg
26,Jayson Moll,RB,jayson-moll.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Moll_Jayson_WK06r.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jayson-moll.jpg
28,JR Mosley,RB,jr-mosley.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Jabari__JR__Mosley_ijWUz.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jr-mosley.jpg
30,Amari Brundidge,RB,amari-brundidge.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/2/20/Brundidge_Amari.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/amari-brundidge.jpg
19,Gabriel Cline,TE,gabriel-cline.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Cline_Gabriel_z1D9s.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/gabriel-cline.jpg
40,Brayden Johnson,TE,brayden-johnson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2024/6/12/Johnson_Brayden.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/brayden-johnson.jpg
44,Scott Isacks,TE,scott-isacks.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Isacks_nbyOn.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/scott-isacks.jpg
48,Gage Messick,TE,gage-messick.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/4/24/FB_Gage_Messick_wp921.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/gage-messick.jpg
85,Antonio Ferguson,TE,antonio-ferguson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/11/4/060A8217_large.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/antonio-ferguson.jpg
86,Vili Haapasalo,TE,vili-haapasalo.png,https://ss-dummy-data.s3.us-east-1.amazonaws.com/images/person-default.png,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/vili-haapasalo.png
87,Sean Persson,TE,sean-persson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Persson_Sean_DMG8M.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/sean-persson.jpg
88,Braden Teague,TE,braden-teague.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Teague_Braden_hLAoU.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/braden-teague.jpg
0,Ty Mims,WR,ty-mims.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Mims_Ty_vJ9JO.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/ty-mims.jpg
1,CJ Smith,WR,cj-smith.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/CJ_MpaHI.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/cj-smith.jpg
4,EJ Reid,WR,ej-reid.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/EJ_Reid_cx5Hc.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/ej-reid.jpg
6,KJ Daniels,WR,kj-daniels.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/4/15/060A8054_eiXFY.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/kj-daniels.jpg
8,Kaleb Brown,WR,kaleb-brown.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/2/20/Brown_Kaleb.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/kaleb-brown.jpg
9,AJ Johnson,WR,aj-johnson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/A_Johnson_vhwQy.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/aj-johnson.jpg
12,Jaylen Elder,WR,jaylen-elder.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/6/11/Elder_Jaylen.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jaylen-elder.jpg
